,Code_postal,Salaire_net_horaire_moyen_en_2014_euro
0,1000.0,12.4
1,1090.0,14.8
2,1100.0,12.1
3,1110.0,12.0
4,1120.0,14.2
5,1130.0,12.1
6,1140.0,13.1
7,1150.0,13.8
8,1160.0,12.9
9,1170.0,12.6
10,1190.0,12.0
11,1200.0,11.5
12,1210.0,12.8
13,1220.0,16.7
14,1230.0,11.7
15,1250.0,14.0
16,1280.0,14.3
17,1300.0,12.4
18,1310.0,13.1
19,1320.0,13.7
20,1330.0,13.3
21,1340.0,12.0
22,1350.0,12.3
23,1360.0,13.4
24,1370.0,12.7
25,1380.0,13.0
26,1390.0,15.0
27,1400.0,13.2
28,1440.0,13.3
29,1460.0,12.4
30,1480.0,13.9
31,1500.0,13.2
32,1540.0,12.4
33,1550.0,12.8
34,1570.0,12.4
35,1580.0,12.9
36,1600.0,14.5
37,1620.0,13.5
38,1630.0,12.4
39,1640.0,12.7
40,1660.0,12.5
41,1700.0,13.6
42,1710.0,13.5
43,1800.0,15.3
44,1810.0,12.4
45,1851.0,12.7
46,1960.0,13.4
47,2000.0,11.4
48,2100.0,12.3
49,2110.0,11.3
50,2120.0,11.4
51,2130.0,11.9
52,2140.0,12.2
53,2150.0,10.6
54,2170.0,12.6
55,2190.0,13.3
56,2200.0,11.8
57,2220.0,12.1
58,2230.0,12.0
59,2250.0,12.4
60,2300.0,12.3
61,2310.0,12.6
62,2370.0,12.4
63,2400.0,12.4
64,2410.0,12.6
65,2430.0,12.2
66,2460.0,13.0
67,2470.0,11.8
68,2500.0,11.1
69,2600.0,12.9
70,2700.0,12.0
71,2800.0,10.6
72,2830.0,10.8
73,2840.0,12.4
74,2880.0,12.0
75,3000.0,11.6
76,3100.0,11.7
77,3110.0,13.9
78,3120.0,10.9
79,3150.0,11.3
80,3160.0,11.9
81,3200.0,12.4
82,3260.0,11.6
83,3270.0,12.5
84,3290.0,11.8
85,3300.0,12.2
86,3310.0,13.9
87,3320.0,10.6
88,3380.0,11.9
89,3400.0,12.5
90,3410.0,12.4
91,3430.0,11.7
92,3500.0,11.8
93,3600.0,12.0
94,3630.0,12.3
95,3700.0,13.5
96,3800.0,11.8
97,4000.0,11.7
98,4100.0,13.4
99,4130.0,13.2
100,4160.0,12.5
101,4180.0,13.7
102,4190.0,11.9
103,4200.0,12.9
104,4210.0,12.4
105,4220.0,13.5
106,4300.0,11.7
107,4310.0,12.5
108,4400.0,11.0
109,4700.0,13.1
110,4800.0,12.8
111,4860.0,16.9
112,5000.0,12.2
113,5100.0,12.0
114,5120.0,12.2
115,5130.0,11.4
116,5200.0,11.7
117,5230.0,12.2
118,5300.0,11.6
119,5400.0,12.1
120,5500.0,12.0
121,5600.0,11.7
122,6000.0,13.2
123,6110.0,13.3
124,6130.0,14.4
125,6140.0,15.7
126,6190.0,12.9
127,6210.0,14.0
128,6220.0,13.5
129,6230.0,15.2
130,6240.0,11.8
131,6250.0,17.0
132,6270.0,15.4
133,6310.0,13.3
134,6320.0,17.2
135,6330.0,22.3
136,6340.0,12.4
137,6360.0,14.3
138,6370.0,17.5
139,6380.0,12.1
140,6390.0,13.3
141,6400.0,13.2
142,6410.0,20.0
143,6430.0,11.6
144,6440.0,12.6
145,6460.0,14.2
146,6480.0,18.3
147,6500.0,11.7
148,6510.0,13.4
149,6530.0,15.3
150,6540.0,11.8
151,6550.0,15.5
152,6560.0,19.1
153,6570.0,18.6
154,6580.0,14.3
155,6600.0,14.9
156,6610.0,17.2
157,6620.0,17.0
158,6640.0,17.2
159,6650.0,20.8
160,6670.0,13.2
161,6690.0,13.6
162,6700.0,14.2
163,6730.0,12.7
164,6740.0,19.0
165,6780.0,15.0
166,6790.0,16.8
167,6800.0,14.2
168,6810.0,15.6
169,7000.0,12.2
170,7100.0,12.2
171,7120.0,10.5
172,7130.0,13.1
173,7140.0,11.2
174,7150.0,11.7
175,7160.0,13.2
176,7170.0,12.1
177,7200.0,11.7
178,7210.0,13.1
179,7220.0,13.5
180,7250.0,12.0
181,7270.0,10.9
182,7300.0,12.9
183,7320.0,11.2
184,7350.0,14.5
185,7370.0,12.5
186,7400.0,12.4
187,7430.0,13.0
188,7500.0,13.4
189,7600.0,11.3
190,7700.0,13.6
191,7800.0,11.8
192,8000.0,12.5
193,8110.0,11.7
194,8120.0,11.6
195,8140.0,12.9
196,8160.0,12.3
197,8170.0,11.1
198,8200.0,11.8
199,8210.0,12.7
200,8230.0,11.9
201,8300.0,11.9
202,8320.0,15.0
203,8330.0,12.6
204,8350.0,12.2
205,8400.0,11.7
206,8440.0,13.1
207,8500.0,12.0
208,8600.0,13.9
209,8700.0,11.9
210,8800.0,12.1
211,9000.0,12.4
212,9100.0,11.9
213,9120.0,12.1
214,9200.0,11.7
215,9210.0,12.4
216,9270.0,12.4
217,9300.0,11.0
218,9340.0,13.0
219,9400.0,12.1
220,9500.0,12.0
221,9600.0,11.4
222,9700.0,12.5
223,10000.0,11.8
224,10100.0,11.6
225,10110.0,11.4
226,10120.0,12.5
227,10140.0,11.1
228,10150.0,12.0
229,10160.0,11.2
230,10200.0,11.6
231,10300.0,12.9
232,10370.0,12.8
233,10400.0,14.5
234,10410.0,12.6
235,10420.0,11.4
236,10430.0,13.7
237,10440.0,14.7
238,10500.0,11.7
239,10600.0,11.1
240,10700.0,11.6
241,10800.0,12.9
242,11000.0,11.8
243,11100.0,12.2
244,11110.0,11.7
245,11130.0,11.7
246,11150.0,11.5
247,11160.0,11.0
248,11200.0,11.4
249,11210.0,11.3
250,11300.0,11.2
251,11370.0,11.3
252,11400.0,11.9
253,11430.0,11.9
254,11500.0,11.0
255,11560.0,11.8
256,11570.0,13.1
257,11590.0,11.5
258,11600.0,11.7
259,11610.0,11.7
260,11620.0,12.9
261,11800.0,11.5
262,12000.0,12.6
263,12100.0,11.8
264,12110.0,11.7
265,12150.0,11.4
266,12160.0,12.0
267,12170.0,12.1
268,12200.0,11.6
269,12240.0,11.1
270,12300.0,11.6
271,12330.0,13.2
272,12340.0,12.1
273,12400.0,11.9
274,12450.0,12.5
275,12500.0,11.5
276,12510.0,13.2
277,12700.0,12.1
278,12740.0,12.8
279,12850.0,12.5
280,13000.0,13.8
281,13001.0,13.8
282,13002.0,13.8
283,13003.0,13.8
284,13004.0,13.8
285,13005.0,13.8
286,13006.0,13.8
287,13007.0,13.8
288,13008.0,13.8
289,13090.0,16.1
290,13100.0,19.1
291,13103.0,14.5
292,13105.0,17.0
293,13109.0,17.0
294,13110.0,12.8
295,13111.0,17.4
296,13112.0,14.7
297,13119.0,15.3
298,13120.0,13.3
299,13122.0,20.2
300,13124.0,15.4
301,13127.0,13.2
302,13130.0,12.1
303,13140.0,12.6
304,13150.0,12.1
305,13160.0,12.7
306,13170.0,14.6
307,13180.0,13.9
308,13190.0,16.0
309,13200.0,12.5
310,13210.0,13.4
311,13220.0,13.9
312,13230.0,13.7
313,13240.0,13.1
314,13250.0,14.6
315,13260.0,16.9
316,13270.0,14.1
317,13300.0,14.1
318,13310.0,13.8
319,13320.0,17.8
320,13330.0,16.7
321,13340.0,13.9
322,13350.0,14.0
323,13360.0,15.8
324,13370.0,14.2
325,13380.0,15.1
326,13390.0,15.2
327,13400.0,13.4
328,13410.0,15.6
329,13420.0,17.7
330,13430.0,15.5
331,13440.0,12.8
332,13450.0,16.6
333,13460.0,10.5
334,13470.0,15.4
335,13480.0,19.6
336,13490.0,15.6
337,13500.0,14.3
338,13510.0,20.1
339,13520.0,14.2
340,13530.0,15.0
341,13550.0,13.4
342,13560.0,13.5
343,13570.0,13.9
344,13580.0,15.7
345,13590.0,16.5
346,13600.0,14.4
347,13610.0,15.6
348,13620.0,19.9
349,13630.0,13.0
350,13640.0,13.0
351,13650.0,15.8
352,13660.0,12.8
353,13670.0,12.2
354,13680.0,15.8
355,13690.0,12.7
356,13700.0,13.2
357,13710.0,16.4
358,13720.0,15.9
359,13730.0,13.0
360,13740.0,14.9
361,13750.0,12.9
362,13760.0,17.0
363,13770.0,17.3
364,13780.0,14.3
365,13790.0,15.6
366,13800.0,13.9
367,13820.0,17.8
368,13821.0,13.9
369,13830.0,15.2
370,13840.0,17.3
371,13850.0,16.0
372,13860.0,14.3
373,13870.0,13.4
374,13880.0,17.3
375,13890.0,14.5
376,13910.0,13.1
377,13920.0,16.1
378,13940.0,14.2
379,13950.0,15.4
380,13960.0,18.2
381,13980.0,15.7
382,13990.0,14.3
383,14000.0,13.0
384,14100.0,11.5
385,14110.0,11.8
386,14111.0,14.2
387,14112.0,18.5
388,14120.0,11.8
389,14123.0,12.1
390,14130.0,11.7
391,14140.0,11.2
392,14150.0,13.7
393,14160.0,11.0
394,14170.0,10.9
395,14200.0,11.8
396,14220.0,12.2
397,14230.0,11.5
398,14260.0,11.8
399,14270.0,11.4
400,14280.0,12.3
401,14290.0,11.6
402,14310.0,11.6
403,14320.0,13.2
404,14330.0,11.5
405,14360.0,12.7
406,14370.0,12.2
407,14390.0,12.8
408,14400.0,12.1
409,14430.0,10.6
410,14440.0,14.4
411,14460.0,11.3
412,14470.0,12.3
413,14500.0,11.4
414,14510.0,13.1
415,14520.0,11.7
416,14530.0,14.8
417,14540.0,13.4
418,14550.0,12.4
419,14600.0,12.8
420,14640.0,12.8
421,14650.0,12.7
422,14670.0,12.8
423,14700.0,11.5
424,14730.0,11.9
425,14740.0,13.6
426,14750.0,13.9
427,14760.0,15.2
428,14780.0,14.2
429,14790.0,13.7
430,14800.0,11.8
431,14810.0,13.7
432,14840.0,12.8
433,14880.0,14.5
434,14970.0,15.5
435,14990.0,13.7
436,15000.0,11.6
437,15100.0,11.1
438,15130.0,12.3
439,15200.0,11.1
440,15400.0,11.4
441,15600.0,10.9
442,16000.0,13.0
443,16100.0,12.9
444,16110.0,11.7
445,16120.0,12.0
446,16130.0,12.2
447,16160.0,12.4
448,16200.0,12.6
449,16220.0,11.3
450,16260.0,11.5
451,16270.0,11.4
452,16300.0,12.2
453,16340.0,13.0
454,16370.0,13.8
455,16400.0,11.9
456,16430.0,13.6
457,16440.0,12.1
458,16470.0,12.1
459,16500.0,12.2
460,16590.0,12.7
461,16600.0,12.6
462,16700.0,11.2
463,16710.0,13.9
464,16730.0,13.4
465,16800.0,12.4
466,17000.0,13.2
467,17100.0,12.5
468,17110.0,12.9
469,17120.0,10.8
470,17130.0,11.8
471,17132.0,12.0
472,17137.0,12.7
473,17138.0,13.3
474,17139.0,14.0
475,17140.0,15.1
476,17160.0,11.4
477,17170.0,12.1
478,17180.0,14.8
479,17190.0,11.4
480,17200.0,11.9
