"Code_geographique","Libelle_geographique","Salaire_net_horaire_moyen_en_2014_euro"
"1004","Ambérieu-en-Bugey","13,7"
1007,"Ambronay","13,5"
1014,"Arbent","13,5"
1024,"Attignat","12,9"
1025,"Bâgé-la-Ville","13,0"
1027,"Balan","13,9"
1031,"Bellignat","12,4"
1032,"Béligneux","14,0"
1033,"Bellegarde-sur-Valserine","11,5"
1034,"Belley","12,4"
1043,"Beynost","17,4"
1049,"La Boisse","15,8"
1053,"Bourg-en-Bresse","12,4"
1071,"Cessy","13,5"
1072,"Ceyzériat","14,0"
1074,"Chalamont","13,7"
1091,"Châtillon-en-Michaille","13,0"
1093,"Châtillon-sur-Chalaronne","13,2"
1109,"Collonges","12,8"
1138,"Culoz","12,3"
1142,"Dagneux","14,3"
1143,"Divonne-les-Bains","16,7"
1157,"Fareins","15,3"
1159,"Feillens","12,4"
1160,"Ferney-Voltaire","12,8"
1173,"Gex","12,6"
1185,"Hauteville-Lompnes","12,0"
1192,"Izernore","12,9"
1194,"Jassans-Riottier","13,9"
1199,"Jujurieux","12,7"
1202,"Lagnieu","13,8"
1224,"Loyettes","13,4"
1232,"Marboz","12,7"
1238,"Massieux","16,6"
1244,"Meximieux","15,5"
1246,"Mézériat","12,5"
1248,"Mionnay","16,2"
1249,"Miribel","15,1"
1262,"Montluel","14,2"
1263,"Montmerle-sur-Saône","14,8"
1265,"Montréal-la-Cluse","12,4"
1266,"Montrevel-en-Bresse","12,0"
1269,"Nantua","12,1"
1275,"Neyron","18,0"
1281,"Ornex","13,4"
1283,"Oyonnax","12,1"
1288,"Péron","13,3"
1289,"Péronnas","13,4"
1301,"Polliat","13,1"
1304,"Pont-d'Ain","12,9"
1305,"Pont-de-Vaux","12,0"
1313,"Prévessin-Moëns","14,3"
1320,"Replonges","13,5"
1322,"Reyrieux","17,8"
1333,"Saint-André-de-Corcy","15,0"
1344,"Saint-Denis-lès-Bourg","13,9"
1345,"Saint-Denis-en-Bugey","13,2"
1348,"Saint-Didier-sur-Chalaronne","13,1"
1350,"Saint-Étienne-du-Bois","13,1"
1354,"Saint-Genis-Pouilly","12,4"
1376,"Saint-Maurice-de-Beynost","13,6"
1378,"Saint-Maurice-de-Gourdans","15,6"
1384,"Saint-Rambert-en-Bugey","11,7"
1419,"Thoiry","13,5"
1426,"Treffort-Cuisiat","12,7"
1427,"Trévoux","14,5"
1435,"Versonnex","13,3"
1443,"Villars-les-Dombes","13,3"
1450,"Villieu-Loyes-Mollon","15,3"
1451,"Viriat","13,3"
1457,"Vonnas","12,4"
2028,"Athies-sous-Laon","12,4"
2059,"Beautor","11,6"
2064,"Belleu","11,9"
2095,"Bohain-en-Vermandois","11,3"
2110,"Braine","12,1"
2163,"Charly-sur-Marne","12,6"
2168,"Château-Thierry","12,4"
2173,"Chauny","12,3"
2243,"Crouy","12,0"
2290,"Essômes-sur-Marne","13,7"
2304,"La Fère","10,6"
2305,"Fère-en-Tardenois","11,9"
2307,"La Ferté-Milon","13,0"
2334,"Fresnoy-le-Grand","12,0"
2340,"Gauchy","12,2"
2360,"Guignicourt","13,3"
2361,"Guise","11,4"
2381,"Hirson","11,1"
2408,"Laon","11,4"
2468,"Marle","12,4"
2543,"Neuilly-Saint-Front","11,8"
2555,"Nogent-l'Artaud","13,1"
2558,"Le Nouvion-en-Thiérache","12,6"
2680,"Saint-Gobain","12,6"
2684,"Saint-Michel","10,8"
2691,"Saint-Quentin","12,3"
2719,"Sinceny","13,2"
2720,"Sissonne","10,6"
2722,"Soissons","12,3"
2738,"Tergnier","12,0"
2758,"Vailly-sur-Aisne","12,4"
2789,"Vervins","12,2"
2805,"Villeneuve-Saint-Germain","11,8"
2810,"Villers-Cotterêts","12,9"
3001,"Abrest","12,7"
3013,"Avermes","12,1"
3023,"Bellerive-sur-Allier","13,5"
3036,"Bourbon-l'Archambault","11,9"
3082,"Commentry","12,0"
3084,"Cosne-d'Allier","11,7"
3094,"Creuzier-le-Vieux","13,5"
3095,"Cusset","12,2"
3098,"Désertines","12,3"
3101,"Domérat","12,4"
3102,"Dompierre-sur-Besbre","11,8"
3118,"Gannat","11,8"
3128,"Huriel","11,9"
3138,"Lapalisse","10,9"
