,campagne,code_postal,code_postal_naissance,csp,debit_cb,flag_banque_principale,flag_epargne,nature_cb,patrimoine,regime_matrimonial,revenus_annuels,encours,cible,AGE,Parrain,domain,Sex,country_connexion,pays_de_naissance
1,456.0,31130.0,38000.0,2.0,0.0,0.0,0.0,1.0,2.0,4.0,2.0,0.0,0,47.0,0,0.0,1,1.0,1.0
3,300.0,94800.0,93420.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,10.0,0,28.0,0,1.0,0,1.0,1.0
5,307.0,73150.0,92290.0,2.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,10.0,0,54.0,0,2.0,1,1.0,1.0
7,868.0,69001.0,69008.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,3442.0,1,27.0,1,3.0,0,1.0,1.0
8,868.0,75015.0,42000.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,380.0,0,28.0,1,3.0,0,1.0,1.0
17,1849.0,72550.0,72000.0,4.0,0.0,0.0,0.0,1.0,1.0,6.0,2.0,705.02,0,29.0,0,3.0,-1,1.0,1.0
22,868.0,44130.0,64000.0,15.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2919.96,1,32.0,0,3.0,1,1.0,1.0
26,868.0,95210.0,95100.0,4.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0,29.0,1,3.0,1,1.0,1.0
38,868.0,35510.0,62000.0,2.0,0.0,0.0,0.0,1.0,3.0,2.0,3.0,20.0,0,47.0,0,4.0,0,1.0,1.0
43,868.0,92190.0,92290.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,510.0,0,31.0,1,0.0,0,1.0,1.0
45,456.0,73200.0,73000.0,16.0,1.0,0.0,0.0,0.0,1.0,6.0,2.0,10.0,0,31.0,0,1.0,1,1.0,1.0
54,868.0,92600.0,69150.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,320.0,0,28.0,1,5.0,1,1.0,1.0
58,307.0,91450.0,50100.0,13.0,0.0,0.0,0.0,1.0,5.0,2.0,2.0,1455.27,1,45.0,0,3.0,0,1.0,1.0
60,300.0,75010.0,92500.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,497.77,0,27.0,0,3.0,1,1.0,1.0
64,868.0,75007.0,34080.0,13.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,8.8,0,27.0,1,3.0,0,1.0,1.0
68,456.0,35235.0,83300.0,6.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,202.54,0,66.0,0,2.0,0,1.0,1.0
71,868.0,28300.0,28400.0,13.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,378.02,0,54.0,1,3.0,0,1.0,1.0
