encours_parrain;sid_parrai;id_parrain
15221.23000;1976844;3310222733
9.05000;1514352;2413380188
8402.57000;2890682;5407353163
12150.39000;3508176;6704932886
160.28000;3310392;6186339895
216.77000;2520584;4490095526
938.50000;2161229;3714457782
580.56000;2597587;4660573381
521.63000;2611982;4681059552
0.00000;1258798;1980333969
301.00000;2947788;5523593960
660.00000;3184109;5938607155
43.36000;3104118;5794766964
2099.12000;3480121;6614556513
4488.54000;1911580;3175939503
954.64000;1320149;2079586972
830.01000;3372075;6356405928
16784.39000;2622393;4697555400
22353.36000;129200;129593
55609.71000;188298;191817
2748.60000;1460163;2322460828
174.18000;2659934;4842388153
7013.18000;2174628;3734095706
6942.45000;2672669;4867588295
2798.72000;1032627;1683036649
15.17000;3471299;6592193373
332.09000;2445834;4355397258
162.18000;2988910;5631076038
11594.76000;1572454;2501752574
852.50000;3516998;6733940664
1191.80000;3413197;6455119274
283.07000;2858714;5346242711
96720.27000;1659607;2631117185
16403.25000;2372744;4209323070
2053.09000;3019953;5672388933
681.07000;2017966;3402922725
2060.99000;3039850;5701940228
330915.35000;1399167;2215090971
51661.66000;1947770;3263881613
148261.35000;1080009;1747061183
0.00000;2234296;3835248818
210.18000;3214726;5985749698
10.15000;3462122;6565230239
1.00000;3455624;6546467053
14050.94000;1754277;2808511511
5.00000;3042744;5705453268
489.27000;2746400;5053325283
4466.35000;2957629;5547122160
24540.38000;2132865;3635905571
547.10000;2565264;4597024425
5914.59000;2843085;5314565209
22320.39000;3486049;6637307017
273.69000;3362351;6327615756
1132.25000;3414170;6455448992
4090.76000;3446802;6528949966
218.68000;3484057;6628130366
1598.62000;2819822;5248160001
43505.20000;658971;691300221
621.66000;1975871;3309342581
275.30000;3269625;6093405541
56125.56000;3475899;6603056896
10387.92000;1881842;3100323661
1280.06000;2809789;5218870406
113.24000;3364558;6335714458
313.44000;1983628;3323381096
21.33000;2852262;5332080205
184643.53000;198331;202409
0.00000;2248004;3872493009
655.57000;2624600;4699318025
182.65000;3015923;5670173489
20.00000;2344572;4113562359
49.23000;2719911;4980552400
306.08000;3506633;6701720417
12539.06000;1993870;3341056885
0.00000;2147120;3673957257
55.02000;3120388;5820932538
13.31000;2632257;4778734196
13627.21000;2231356;3827145326
130.62000;3230186;6021489218
2838.07000;3498976;6675384948
410.01000;3433380;6499911030
10.00000;3099495;5785462753
2652.42000;2451121;4365765477
9245.74000;3307521;6177824281
93057.55000;3215035;5985824571
13070.62000;3128045;5838842569
22940.84000;1715339;2742320043
1572.71000;3548588;6821330851
19317.19000;2357639;4159695092
14.36000;214501;219478
345548.80000;692104;759000422
0.00000;2900237;5424068122
7.02000;3357110;6316563207
163404.90000;2589028;4640808853
1904.81000;3262964;6081261706
23.24000;3176970;5928982522
100.00000;3028466;5686921027
27.63000;3362397;6327643486
166.34000;792656;1101723206
226.74000;2643595;4804461405
5211.87000;2917340;5459278296
93412.40000;1006756;1651687054
41.03000;3050069;5714338659
7485.91000;1813421;2956764522
30715.42000;2967616;5571134299
2560.01000;3432739;6499808193
10.02000;3246525;6059399955
530.00000;3280817;6117320366
717.84000;3416755;6463846320
59534.38000;1160879;1857957736
483.93000;3446301;6528766486
2307.56000;2572257;4607523460
6718.03000;3400107;6422594398
10775.50000;2715142;4963112033
11252.51000;3379709;6376850647
356.80000;3279612;6113267687
119233.20000;3383791;6385465215
1921.81000;1642318;2604617608
574.01000;3285563;6127570277
732.61000;2687465;4891399597
172.06000;2989743;5632189744
1754.71000;2370915;4205032140
19868.91000;3327867;6231199517
83538.73000;1010569;1655960457
173229.44000;935819;1563551962
4866.91000;2881691;5387878018
464.77000;1351693;2131439222
14270.42000;2991071;5636478100
55.00000;3535730;6778371341
120.00000;2395057;4257463188
10.00000;3220153;5998921408
9604.08000;3246293;6059334421
2.86000;2170552;3727681913
248.29000;2749171;5058967761
3.34000;2883357;5388890141
60.00000;2730608;5012086887
10.00000;2963016;5556910942
17.00000;3554370;6835165189
35553.43000;1902927;3144623814
2753.96000;1858224;3048822812
3746.80000;771408;1021440846
640.80000;3253449;6068375863
231.91000;3226064;6012364813
13704.32000;3269433;6093363880
72.32000;3080139;5757468461
40.46000;3315470;6199325047
1227.04000;3443413;6521571985
40.50000;3517161;6734021195
105.85000;2484872;4424783651
2610.02000;3316698;6201012860
12375.23000;3195662;5953385204
1004.77000;2716854;4967395260
245125.01000;1644479;2606518476
210.00000;3536417;6778617744
25191.85000;2763257;5092839694
464.50000;3228958;6017839797
40.21000;3113750;5808785047
168.67000;3136890;5857636187
23006.37000;2055361;3473812772
200.00000;2946268;5520203205
1030.00000;3065134;5735234630
6181.76000;2652254;4824937094
152.46000;3070421;5740219883
502.64000;3266877;6089149730
38.18000;3116707;5816699716
12201.18000;3206777;5971908056
3015.34000;2969531;5578862851
43.06000;2987845;5625934208
52.89000;2995671;5647862722
8335.62000;2278498;3952200569
18.03000;3513941;6720322042
12369.81000;487745;387744420
16.24000;3455169;6546326188
22134.80000;3442062;6516226085
225.29000;3471817;6592407507
2035.57000;1998802;3354875310
11774.82000;933921;1560794701
9.90000;2913095;5448889525
39008.32000;1481534;2361052588
9462.51000;1892207;3128196416
500.48000;3299171;6157510181
1453.43000;3375796;6366485515
1876.26000;3430363;6494570375
10.69000;2525021;4504130076
7662.38000;2073535;3510636594
27282.55000;3316011;6199560311
586.99000;2449701;4362616359
0.00000;2920520;5466149161
384.67000;3404661;6437666557
127597.78000;2509386;4464576300
224.62000;1982131;3320889470
0.00000;2830542;5275466656
33.96000;2964559;5560624808
330.00000;2102580;3568523948
964.49000;3321252;6211718118
1554.54000;3152018;5892872048
1680.01000;3365368;6336081455
442.50000;1927023;3208805431
3838.46000;2936922;5501064911
1745.99000;2918528;5459797411
1028.75000;2261827;3907020962
12999.79000;3546922;6814907008
6651.61000;2553425;4572186525
4933.37000;973984;1615088247
190.59000;3006932;5658804265
3153.33000;3250578;6064338161
2.78000;3240837;6045348453
10.00000;3391262;6406997024
1890.01000;3365955;6340145229
629.18000;3441375;6515923860
185.05000;3527025;6761336171
816.62000;2436471;4341241211
0.00000;3293930;6149606802
175.73000;3315988;6199554521
5509.69000;2847877;5326854455
1641.12000;3013693;5666607126
1931.57000;2007584;3378738999
32685.18000;2745899;5050199163
811.89000;2739161;5034432885
3132.78000;1409486;2234340069
20.00000;3299217;6157524254
128.25000;1179611;1882866833
237.91000;3381375;6381275670
425.00000;3270790;6097118548
2001.89000;3042366;5705399914
1290.00000;3056899;5722154585
126.56000;2673233;4867778382
813.11000;3271995;6099317155
29326.26000;1057665;1716514944
82.96000;2207778;3778255610
1183.20000;2855697;5339334047
15.00000;2937068;5501089817
11009.18000;2865730;5355762751
12082.45000;3031005;5691162703
479.61000;2910656;5446555686
135.00000;3156060;5896127107
604.43000;3133246;5849200627
