"Commune","Code_postal","Departement","Code_INSEE"
"BOURG EN BRESSE",1000,"AIN",1053
"ST DENIS LES BOURG",1000,"AIN",1344
"BROU",1000,"AIN",1914
"AMAREINS",1090,"AIN",1003
"CESSEINS",1090,"AIN",1070
"AMAREINS FRANCHELEINS CES",1090,"AIN",1165
"GENOUILLEUX",1090,"AIN",1169
"GUEREINS",1090,"AIN",1183
"LURCY",1090,"AIN",1225
"MONTCEAUX",1090,"AIN",1258
"MONTMERLE SUR SAONE",1090,"AIN",1263
"APREMONT",1100,"AIN",1011
"ARBENT",1100,"AIN",1014
"BOUVENT",1100,"AIN",1055
"GEOVREISSET",1100,"AIN",1171
"OYONNAX",1100,"AIN",1283
"VEYZIAT",1100,"AIN",1440
"ARANC",1110,"AIN",1012
"BRENOD",1110,"AIN",1060
"CHAMPDOR",1110,"AIN",1080
"CORCELLES",1110,"AIN",1119
"CORLIER",1110,"AIN",1121
"CORMARANCHE EN BUGEY",1110,"AIN",1122
"HAUTEVILLE LOMPNES",1110,"AIN",1185
"HOSTIAS",1110,"AIN",1186
"THEZILLIEU",1110,"AIN",1417
"LA BOISSE",1120,"AIN",1049
"CORDIEUX",1120,"AIN",1120
"DAGNEUX",1120,"AIN",1142
"MONTLUEL",1120,"AIN",1262
"NIEVROZ",1120,"AIN",1276
"PIZAY",1120,"AIN",1297
"STE CROIX",1120,"AIN",1342
"THIL",1120,"AIN",1418
"JAILLEUX",1120,"AIN",1906
"LA LECHERE",1120,"AIN",1907
"RAPAN",1120,"AIN",1908
"CHANES",1120,"AIN",1910
"BELLEYDOUX",1130,"AIN",1035
"CHARIX",1130,"AIN",1087
"ECHALLON",1130,"AIN",1152
"GIRON",1130,"AIN",1174
"LALLEYRIAT",1130,"AIN",1204
"NANTUA",1130,"AIN",1269
"LES NEYROLLES",1130,"AIN",1274
"PLAGNE",1130,"AIN",1298
"LE POIZAT",1130,"AIN",1300
"ST GERMAIN DE JOUX",1130,"AIN",1357
"GARNERANS",1140,"AIN",1167
"ILLIAT",1140,"AIN",1188
"MOGNENEINS",1140,"AIN",1252
"PEYZIEUX SUR SAONE",1140,"AIN",1295
"ST DIDIER SUR CHALARONNE",1140,"AIN",1348
"ST ETIENNE SUR CHALARONNE",1140,"AIN",1351
"THOISSEY",1140,"AIN",1420
"VALEINS",1140,"AIN",1428
"BLYES",1150,"AIN",1047
"CHAZEY SUR AIN",1150,"AIN",1099
"LAGNIEU",1150,"AIN",1202
"LEYMENT",1150,"AIN",1213
"STE JULIE",1150,"AIN",1366
"ST SORLIN EN BUGEY",1150,"AIN",1386
"ST VULBAS",1150,"AIN",1390
"SAULT BRENAZ",1150,"AIN",1396
"SOUCLIN",1150,"AIN",1411
"VAUX EN BUGEY",1150,"AIN",1431
"VILLEBOIS",1150,"AIN",1444
"DRUILLAT",1160,"AIN",1151
"NEUVILLE SUR AIN",1160,"AIN",1273
"PONT D AIN",1160,"AIN",1304
"PRIAY",1160,"AIN",1314
"ST MARTIN DU MONT",1160,"AIN",1374
"LA TRANCLIERE",1160,"AIN",1425
"VARAMBON",1160,"AIN",1430
"CESSY",1170,"AIN",1071
"CHEVRY",1170,"AIN",1103
"CROZET",1170,"AIN",1135
"ECHENEVEX",1170,"AIN",1153
"GEX",1170,"AIN",1173
"MIJOUX",1170,"AIN",1247
"SEGNY",1170,"AIN",1399
"VESANCY",1170,"AIN",1436
"ARBIGNY",1190,"AIN",1016
"BOISSEY",1190,"AIN",1050
"BOZ",1190,"AIN",1057
"CHAVANNES SUR REYSSOUZE",1190,"AIN",1094
"CHEVROUX",1190,"AIN",1102
"GORREVOD",1190,"AIN",1175
"OZAN",1190,"AIN",1284
"PONT DE VAUX",1190,"AIN",1305
"REYSSOUZE",1190,"AIN",1323
"ST BENIGNE",1190,"AIN",1337
"ST ETIENNE SUR REYSSOUZE",1190,"AIN",1352
"SERMOYER",1190,"AIN",1402
"BELLEGARDE SUR VALSERINE",1200,"AIN",1033
"BILLIAT",1200,"AIN",1044
"CHATILLON EN MICHAILLE",1200,"AIN",1091
"CHEZERY FORENS",1200,"AIN",1104
"CONFORT",1200,"AIN",1114
"CRAZ EN MICHAILLE",1200,"AIN",1131
"INJOUX GENISSIAT",1200,"AIN",1189
"LANCRANS",1200,"AIN",1205
"LEAZ",1200,"AIN",1209
"MONTANGES",1200,"AIN",1257
"OCHIAZ",1200,"AIN",1278
"VILLES",1200,"AIN",1448
"VOUVRAY",1200,"AIN",1458
"ELOISE",1200,"AIN",74109
"ST GERMAIN SUR RHONE",1200,"AIN",74235
"FERNEY VOLTAIRE",1210,"AIN",1160
"ORNEX",1210,"AIN",1281
"VERSONNEX",1210,"AIN",1435
"DIVONNE LES BAINS",1220,"AIN",1143
"GRILLY",1220,"AIN",1180
"SAUVERNY",1220,"AIN",1397
"ARANDAS",1230,"AIN",1013
"ARGIS",1230,"AIN",1017
"CHALEY",1230,"AIN",1076
"CLEYZIEU",1230,"AIN",1107
"CONAND",1230,"AIN",1111
"EVOSGES",1230,"AIN",1155
"NIVOLLET MONTGRIFFON",1230,"AIN",1277
"ONCIEU",1230,"AIN",1279
"ST RAMBERT EN BUGEY",1230,"AIN",1384
"TENAY",1230,"AIN",1416
"TORCIEU",1230,"AIN",1421
"CERTINES",1240,"AIN",1069
"LA CHAPELLE DU CHATELARD",1240,"AIN",1085
"DOMPIERRE SUR VEYLE",1240,"AIN",1145
"LENT",1240,"AIN",1211
"MARLIEUX",1240,"AIN",1235
"ST ANDRE LE BOUCHOUX",1240,"AIN",1335
"ST ANDRE SUR VIEUX JONC",1240,"AIN",1336
"ST GERMAIN SUR RENON",1240,"AIN",1359
"ST PAUL DE VARAX",1240,"AIN",1383
"SERVAS",1240,"AIN",1405
"BOHAS",1250,"AIN",1048
"CEYZERIAT",1250,"AIN",1072
"CHAVANNES SUR SURAN",1250,"AIN",1095
"CIZE",1250,"AIN",1106
"CORVEISSIAT",1250,"AIN",1125
"DROM",1250,"AIN",1150
"GERMAGNAT",1250,"AIN",1172
"GRAND CORENT",1250,"AIN",1177
"HAUTECOURT ROMANECHE",1250,"AIN",1184
"JASSERON",1250,"AIN",1195
"JOURNANS",1250,"AIN",1197
"BOHAS MEYRIAT RIGNAT",1250,"AIN",1245
"MONTAGNAT",1250,"AIN",1254
"POUILLAT",1250,"AIN",1309
"RAMASSE",1250,"AIN",1317
"REVONNAS",1250,"AIN",1321
"RIGNAT",1250,"AIN",1324
"ROMANECHE",1250,"AIN",1327
"ST JUST",1250,"AIN",1369
"SIMANDRE SUR SURAN",1250,"AIN",1408
"TOSSIAT",1250,"AIN",1422
"VILLEREVERSURE",1250,"AIN",1447
"BELMONT LUTHEZIEU",1260,"AIN",1036
"BRENAZ",1260,"AIN",1059
"CHAMPAGNE EN VALROMEY",1260,"AIN",1079
"CHARANCIN",1260,"AIN",1086
"FITIGNIEU",1260,"AIN",1161
"LE GRAND ABERGEMENT",1260,"AIN",1176
"HOTONNES",1260,"AIN",1187
"LILIGNOD",1260,"AIN",1217
"LOCHIEU",1260,"AIN",1218
"LOMPNIEU",1260,"AIN",1221
"LUTHEZIEU",1260,"AIN",1226
"PASSIN",1260,"AIN",1287
"LE PETIT ABERGEMENT",1260,"AIN",1292
"RUFFIEU",1260,"AIN",1330
"SONGIEU",1260,"AIN",1409
"SUTRIEU",1260,"AIN",1414
"VIEU",1260,"AIN",1442
"VIRIEU LE PETIT",1260,"AIN",1453
"BEAUPONT",1270,"AIN",1029
"COLIGNY",1270,"AIN",1108
"DOMSURE",1270,"AIN",1147
"PIRAJOUX",1270,"AIN",1296
"SALAVRE",1270,"AIN",1391
"VERJON",1270,"AIN",1432
"VILLEMOTIER",1270,"AIN",1445
"MOENS",1280,"AIN",1251
"PREVESSIN MOENS",1280,"AIN",1313
"BEY",1290,"AIN",1042
"BIZIAT",1290,"AIN",1046
"CORMORANCHE SUR SAONE",1290,"AIN",1123
"CRUZILLES LES MEPILLAT",1290,"AIN",1136
"GRIEGES",1290,"AIN",1179
"LAIZ",1290,"AIN",1203
"PONT DE VEYLE",1290,"AIN",1306
"ST ANDRE D HUIRIAT",1290,"AIN",1334
"ST JEAN SUR VEYLE",1290,"AIN",1365
"AMBLEON",1300,"AIN",1006
"ANDERT ET CONDON",1300,"AIN",1009
"ARBIGNIEU",1300,"AIN",1015
"BELLEY",1300,"AIN",1034
"BREGNIER CORDON",1300,"AIN",1058
"BRENS",1300,"AIN",1061
"CHAZEY BONS",1300,"AIN",1098
"COLOMIEU",1300,"AIN",1110
"CONTREVOZ",1300,"AIN",1116
"CONZIEU",1300,"AIN",1117
"CUZIEU",1300,"AIN",1141
"IZIEU",1300,"AIN",1193
"MAGNIEU",1300,"AIN",1227
"MARIGNIEU",1300,"AIN",1234
"MASSIGNIEU DE RIVES",1300,"AIN",1239
"MURS ET GELIGNIEUX",1300,"AIN",1268
"NATTAGES",1300,"AIN",1271
