,id_dim_personne,encours_parrain,id_parrain
0,7167751575,59563.73,2331967534.0
1,7167807625,,
2,7173385938,,
3,7183362884,,
4,7183370804,,
5,7188459867,,
6,7189177285,,
7,7197481661,1105.19,4406131308.0
8,7197630039,,
9,7218077015,25.5,5407581699.0
10,7219101044,1258.78,6952380476.0
11,7219173391,,
12,7219244175,,
13,7219298709,26.14,3329834800.0
14,7219303224,,
15,7219333192,,
16,7223324990,,
17,7224362852,,
18,7224365215,161.92,2019790967.0
19,7224999935,11933.86,1845565610.0
20,7225000718,25665.17,3379976317.0
21,7225002156,3230.59,2795483828.0
22,7225010536,,
23,7225017580,,
24,7225019795,,
25,7225020362,,
26,7225025994,,
27,7225027838,,
28,7225030534,,
29,7225031291,6.53,6045115167.0
30,7225040349,5473.15,330733860.0
31,7225046361,,
32,7225046838,,
33,7225057177,,
34,7225058805,,
35,7225061180,411.24,6772458684.0
36,7225062343,422.46,7104566203.0
37,7225083483,,
38,7225095907,,
39,7225113700,,
40,7225123804,,
41,7225126062,3541.97,2391493546.0
42,7225170009,5983.38,3973854902.0
43,7225190111,4848.37,3327279119.0
44,7225207501,,
45,7225211516,75866.85,508929472.0
46,7225233393,287.82,6249358207.0
47,7225235704,5.66,5771012695.0
48,7225253980,,
49,7225264808,16007.37,2389640730.0
50,7225276494,694.74,5712210687.0
51,7225286532,,
52,7225288015,2786.46,3796744643.0
53,7225298216,,
54,7225302470,595.11,6778137834.0
55,7225314936,,
56,7225331519,24141.16,2786493103.0
57,7225338906,304.01,7087538119.0
58,7225344862,1688.39,6840754539.0
59,7225361931,332.55,3954465125.0
60,7225367080,,
61,7225376876,,
62,7225395927,,
63,7225396296,,
64,7225404049,183.37,5739924307.0
65,7225430215,,
66,7225496183,,
67,7225500833,584.9,5843081666.0
68,7225515498,398.76,4642805668.0
69,7225539283,,
70,7225646161,,
71,7225654456,,
72,7225774553,3381.98,4855860492.0
73,7226342561,,
74,7232418459,1408.92,5717932778.0
75,7232458086,234.63,6055756990.0
76,7232469773,3066.08,4078168033.0
77,7232470895,,
78,7232484273,24.79,2148798153.0
79,7232484469,14569.52,3134749168.0
80,7232490208,,
81,7232494656,53808.8,2479403513.0
82,7232495577,,
83,7232495600,,
84,7232505680,,
85,7232506754,19725.17,5671311184.0
86,7232513529,1256.97,7149106263.0
87,7232514044,,
88,7232514085,22.19,6821294197.0
89,7232520644,,
90,7232522289,,
91,7232530080,,
92,7232530296,1894.51,5209810641.0
93,7232532035,,
94,7232532506,,
95,7232532672,5.83,7137168140.0
96,7232534386,,
97,7232535253,,
98,7232549989,5559.93,3080107847.0
99,7232558772,,
100,7232559267,,
101,7232560725,3733.39,5740217544.0
102,7232562278,,
103,7232563558,,
104,7232570235,,
105,7232578518,,
106,7232580612,,
107,7232585744,,
108,7232589259,,
109,7232599433,7695.97,4061327032.0
110,7232607740,2016.9,1794148042.0
111,7232613472,544.04,6162400946.0
112,7232624880,860.0,6998641154.0
113,7232626348,,
114,7232630720,20413.06,4526007710.0
115,7232650118,0.0,6778652772.0
116,7232659158,60.0,7007801379.0
117,7232659331,217.27,3403179929.0
118,7232676543,,
119,7232678588,352.42,6035531018.0
120,7232679391,,
121,7232680172,20.0,5717804847.0
122,7232683486,117.82,5459572509.0
123,7232685097,,
124,7232685387,,
125,7232694271,,
126,7232696073,830.0,7081274744.0
127,7232701803,73.68,3123967005.0
128,7232706647,204.77,6078723117.0
129,7232714640,,
130,7232717538,530.5,3725301861.0
131,7232718241,,
132,7232724831,2196.33,7093225694.0
133,7232727582,23264.47,2258752631.0
134,7232728631,,
135,7232730524,,
136,7232730723,,
137,7232731870,,
138,7232733018,,
139,7232737708,,
140,7232738651,,
141,7232740016,,
142,7232740227,,
143,7232740753,,
144,7232743470,,
145,7232744007,,
146,7232744208,141.74,3842239496.0
147,7232744819,,
148,7232752775,,
149,7232754509,155.09,5346487793.0
150,7232760262,,
151,7232760388,,
152,7232767440,6261.52,6084728485.0
153,7232772481,,
154,7232774049,364.47,5967804657.0
155,7232775101,,
156,7232781716,,
157,7232782210,0.39,5726172004.0
158,7232784312,,
159,7232786917,404.6,6872728792.0
160,7232791968,3057.37,7088015027.0
161,7232792816,,
162,7232796787,610.0,7108531899.0
163,7232797035,,
164,7232800198,515.0,6998668831.0
165,7232805015,765.87,5437207208.0
166,7232805088,2470.01,1989485183.0
167,7232808768,,
168,7232812855,,
169,7232813035,511.67,7150086427.0
170,7232819323,8119.98,2303200578.0
171,7232820089,8076.98,6620315619.0
172,7232822208,,
173,7232826433,,
174,7232834374,4008.63,5714432470.0
175,7232841557,10.0,5767510139.0
176,7232841825,,
177,7232843453,56.14,5215202615.0
178,7232845030,,
179,7232847163,,
180,7232848525,,
181,7232853006,223.44,7024895510.0
182,7232857858,,
183,7232862607,9744.92,1699596761.0
184,7232862694,2021.51,5923064259.0
185,7232865336,12173.0,2333713778.0
186,7232866775,22.05,6716591694.0
187,7232867287,,
188,7232867694,475.24,6901272358.0
189,7232870783,475.24,6901272358.0
190,7232870928,10.0,6873281400.0
191,7232873010,,
192,7232873415,10.0,6907872005.0
193,7232873952,,
194,7232875459,,
195,7232876242,,
196,7232878040,,
197,7232879429,5080.0,6754976027.0
198,7232882395,196.13,2480875820.0
199,7232886907,0.0,4050709850.0
200,7232890933,,
201,7232893526,10.0,6634169670.0
202,7232898882,16855.04,6810748849.0
203,7232901211,10.0,6907872005.0
204,7232902501,,
205,7232902861,3385.44,5873499504.0
206,7232902889,,
207,7232909128,,
208,7232913161,,
209,7232913339,205.82,6890257169.0
210,7233658163,,
211,7233659997,270.26,6627071241.0
212,7233664680,,
213,7236391923,,
214,7236413276,17521.03,7112592145.0
215,7236415523,390369.12,3286794874.0
216,7236416523,,
217,7236417644,,
218,7236418074,284.72,6510125415.0
219,7236418102,504.49,7046024206.0
220,7236426548,,
221,7236429832,,
222,7236431240,3261.54,1507248953.0
223,7236432249,,
224,7236434136,19.7,6827429266.0
225,7236436243,1070.0,6059283102.0
226,7236449125,,
227,7236453066,,
228,7236473227,149.86,6778053333.0
229,7236485088,,
230,7236518303,495.0,7112668254.0
231,7236519776,40.05,7103835465.0
232,7236520024,154420.57,6104654206.0
233,7236569773,,
234,7236572003,,
235,7236576017,,
236,7236590602,6317.44,5957306998.0
237,7236594624,,
238,7236599176,,
239,7236622571,969.2,6921391138.0
240,7236625030,69.0,7092785280.0
241,7236627825,53.97,7108564217.0
242,7236627946,81740.94,2389891496.0
243,7236641554,4912.92,7123823562.0
244,7236643507,9542.93,4694160447.0
245,7236661969,131.38,6546557808.0
246,7236662283,20.0,7099169337.0
247,7236663932,,
248,7236673356,59843.94,4409442385.0
249,7236687302,2459.2,1482135179.0
250,7236691983,,
251,7236697627,,
252,7236702179,,
253,7236704458,706.4,7099390518.0
254,7236710688,12963.29,6552699502.0
255,7236724436,4241.13,6012769474.0
256,7236741015,3385.44,5873499504.0
257,7236749659,2.08,6081145802.0
258,7236768475,880.28,4804461405.0
259,7236774053,145.17,7065598607.0
260,7236774514,,
261,7236777661,2050.59,4530268488.0
262,7236808517,,
263,7236814784,,
264,7236815357,,
265,7236830662,9652.04,7113353208.0
266,7236851251,,
267,7236852736,1649.7,6466149128.0
268,7236863438,,
269,7236866085,,
270,7236871822,,
271,7236880276,300.0,4047883171.0
272,7236926976,12297.96,7107108908.0
273,7236962474,,
274,7236966684,1030.16,7118680222.0
275,7236997100,,
276,7237003611,10.82,6162142724.0
277,7237041645,2309.04,7118830733.0
278,7237059255,62.79,5808520787.0
279,7238885737,,
280,7238889959,,
281,7238903070,28804.13,2650744988.0
282,7238903227,,
283,7238907122,,
284,7238908695,8164.53,3728043869.0
285,7238909181,351.73,5862414891.0
286,7238909778,,
287,7238909899,,
288,7238916315,,
289,7238916426,,
290,7238921929,2395.49,6103423835.0
291,7238924877,,
292,7238925978,,
293,7238926104,,
294,7238927173,87.14,2775409023.0
295,7238927918,,
296,7238928669,,
297,7238931955,,
298,7238946873,,
299,7238946901,,
300,7238951637,2684.11,3981092071.0
301,7238952543,,
302,7238953594,,
303,7238955778,10.0,3737733015.0
304,7238957272,,
305,7238958222,693.51,7112588000.0
306,7238959599,3385.44,5873499504.0
307,7238960630,10974.65,4231547313.0
308,7238962991,992.79,5443412311.0
309,7238964533,,
310,7238964655,,
311,7238965600,,
312,7238966150,204.62,7081868047.0
313,7238967631,527.75,5922769864.0
314,7238967958,12173.0,2333713778.0
315,7238968679,32510.85,2225364752.0
316,7238969306,369.87,5701756368.0
317,7238970196,777.83,6649122296.0
318,7238970515,9019.31,2027443965.0
319,7238971721,10118.27,1574803752.0
320,7238972152,,
321,7238973002,,
322,7238973517,,
323,7238973764,191.47,7113397355.0
324,7238973887,35925.86,7108583338.0
325,7238975589,,
326,7238980016,,
327,7238981586,10.0,7052258842.0
328,7238981854,10.0,5767510139.0
329,7238982399,,
330,7238983214,,
331,7238983368,3385.44,5873499504.0
332,7238986081,339.06,6510594902.0
333,7238988791,10.0,5767510139.0
334,7238996172,,
335,7238998612,14.28,5713355852.0
336,7239002045,,
337,7239002252,,
338,7239004641,,
339,7239004683,46.81,7051933140.0
340,7239006378,43.05,5093865971.0
341,7239009308,,
342,7239009704,20.0,6727917428.0
343,7239010115,4569.42,6821021862.0
344,7239010410,3157.44,6533163964.0
345,7239011502,6371.98,1785868326.0
346,7239011603,,
347,7239015851,16.92,6855666455.0
348,7239016508,5754.58,1699667135.0
349,7239019083,2752.47,7136966087.0
350,7239020421,,
351,7239021952,5325.69,6667097815.0
352,7239024865,5369.13,2249388283.0
353,7239028517,20.65,5339306838.0
354,7239029192,140334.97,6834736630.0
355,7239031898,40.0,6737120349.0
356,7239032199,,
357,7239032303,,
358,7239034679,2946.45,6649746104.0
359,7239035476,15010.0,6738563979.0
360,7239039050,30.7,7075420373.0
361,7239041192,,
362,7239043976,110.49,7099241416.0
363,7239044876,450.41,6450005367.0
364,7239045421,3385.44,5873499504.0
365,7239046311,60.99,6958157730.0
366,7239048020,,
367,7239050333,285.6,3084639000.0
368,7239051910,,
369,7239052275,220.3,7106721778.0
370,7239053729,,
371,7239053821,,
372,7239055388,43298.98,3737899276.0
373,7239056709,,
374,7239060709,1692.35,4511317425.0
375,7239062274,,
376,7239062448,1393.71,7077206510.0
377,7239063142,5575.4,3560911212.0
378,7239063823,5358.68,3748830770.0
379,7239067650,,
380,7239068921,,
381,7239069467,1841.56,3341075910.0
382,7239070036,27032.56,3080032333.0
383,7239071862,,
384,7239072733,11004.28,2966726853.0
385,7239074850,,
386,7239074879,6366.2,5943268272.0
387,7239076572,,
388,7239077622,86.75,6985450094.0
389,7239078299,,
390,7239078982,111.0,7042812101.0
391,7239079675,134.49,7092639348.0
392,7239079954,,
393,7239083924,,
394,7239089410,7846.98,6059583543.0
395,7239089902,4567.97,6471366769.0
396,7239092049,613.34,426811504.0
397,7239092155,397.55,2541845435.0
398,7239093864,,
399,7239094710,2483.04,4456858435.0
400,7239095004,85122.34,353584285.0
401,7239098368,,
402,7239098763,839.3,7093029446.0
403,7239100584,,
404,7239104953,6766.29,6936808570.0
405,7239105249,,
406,7239112589,,
407,7239112826,,
408,7239113997,,
409,7239116811,,
410,7239117401,3321.2,6695863984.0
411,7239118656,10.0,5767510139.0
412,7239120576,44.8,4777804728.0
413,7239121246,,
414,7239121870,3012.91,6926883493.0
415,7239123103,,
416,7239127506,17789.88,2097761066.0
417,7239128047,1360.0,6186333962.0
418,7239130349,10.01,5770882851.0
419,7239130785,530.0,7058666467.0
420,7239134966,91.47,6978093988.0
421,7239135422,524.81,6162437877.0
422,7239136921,,
423,7239138047,350.0,4554436937.0
424,7239139851,187.51,4920407405.0
425,7239139908,10.0,5767510139.0
426,7239140258,,
427,7239140405,,
428,7239140779,2007.5,3270493881.0
429,7239140986,27952.32,7002143175.0
